"","pizza_name","month_01","month_02","month_03","month_04","month_05","month_06","month_07","month_08","month_09","month_10","month_11","month_12","meat_sliced_ham","meat_pepperoni","meat_bacon","meat_calabrese_salami","meat_barbecued_chicken","meat_italian_sausage","meat_chorizo_sausage","meat_prosciutto","meat_慛duja_salami","meat_pancetta","meat_chicken","meat_beef_chuck_roast","meat_capocollo","meat_genoa_salami","meat_prosciutto_di_san_daniele","meat_coarse_sicilian_salami","meat_luganega_sausage","meat_soppressata_salami","total_sales","ingredeint_count","meat_count","alt_cheese_count","alt_sauce_count","veggie_count","is_vegetarian","alt_cheese","alt_sauce","month","meat_count2"
"1","The Barbecue Chicken Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,206,0,0,0,0,0,0,0,3770.25,6,1,0,1,4,FALSE,FALSE,TRUE,1,1
"2","The Barbecue Chicken Pizza",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,229,0,0,0,0,0,0,0,4049.25,6,1,0,1,4,FALSE,FALSE,TRUE,3,1
"3","The Barbecue Chicken Pizza",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,220,0,0,0,0,0,0,0,3953.5,6,1,0,1,4,FALSE,FALSE,TRUE,5,1
"4","The Barbecue Chicken Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,217,0,0,0,0,0,0,0,3784.25,6,1,0,1,4,FALSE,FALSE,TRUE,7,1
"5","The Barbecue Chicken Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,183,0,0,0,0,0,183,0,0,0,0,0,0,0,3300.25,6,1,0,1,4,FALSE,FALSE,TRUE,8,1
"6","The Barbecue Chicken Pizza",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,161,0,0,0,0,0,161,0,0,0,0,0,0,0,2946,6,1,0,1,4,FALSE,FALSE,TRUE,10,1
"7","The Big Meat Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,145,145,0,0,145,145,0,0,0,0,0,0,0,0,0,0,0,1788,4,4,0,0,0,FALSE,FALSE,FALSE,1,16
"8","The Big Meat Pizza",0,0,0,1,0,0,0,0,0,0,0,0,0,137,137,0,0,137,137,0,0,0,0,0,0,0,0,0,0,0,1668,4,4,0,0,0,FALSE,FALSE,FALSE,4,16
"9","The Big Meat Pizza",0,0,0,0,1,0,0,0,0,0,0,0,0,176,176,0,0,176,176,0,0,0,0,0,0,0,0,0,0,0,2280,4,4,0,0,0,FALSE,FALSE,FALSE,5,16
"10","The Big Meat Pizza",0,0,0,0,0,1,0,0,0,0,0,0,0,133,133,0,0,133,133,0,0,0,0,0,0,0,0,0,0,0,1668,4,4,0,0,0,FALSE,FALSE,FALSE,6,16
"11","The Big Meat Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,173,173,0,0,173,173,0,0,0,0,0,0,0,0,0,0,0,2220,4,4,0,0,0,FALSE,FALSE,FALSE,7,16
"12","The Big Meat Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,149,149,0,0,149,149,0,0,0,0,0,0,0,0,0,0,0,1920,4,4,0,0,0,FALSE,FALSE,FALSE,8,16
"13","The Big Meat Pizza",0,0,0,0,0,0,0,0,1,0,0,0,0,136,136,0,0,136,136,0,0,0,0,0,0,0,0,0,0,0,1704,4,4,0,0,0,FALSE,FALSE,FALSE,9,16
"14","The Big Meat Pizza",0,0,0,0,0,0,0,0,0,1,0,0,0,142,142,0,0,142,142,0,0,0,0,0,0,0,0,0,0,0,1812,4,4,0,0,0,FALSE,FALSE,FALSE,10,16
"15","The Big Meat Pizza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,0,0,FALSE,FALSE,FALSE,NA,16
"16","The Brie Carre Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,827.75,6,1,1,0,4,FALSE,TRUE,FALSE,1,1
"17","The Brie Carre Pizza",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1040.6,6,1,1,0,4,FALSE,TRUE,FALSE,2,1
"18","The Brie Carre Pizza",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1087.9,6,1,1,0,4,FALSE,TRUE,FALSE,3,1
"19","The Brie Carre Pizza",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,756.8,6,1,1,0,4,FALSE,TRUE,FALSE,4,1
"20","The Brie Carre Pizza",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1087.9,6,1,1,0,4,FALSE,TRUE,FALSE,5,1
"21","The Brie Carre Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1040.6,6,1,1,0,4,FALSE,TRUE,FALSE,7,1
"22","The Brie Carre Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1016.95,6,1,1,0,4,FALSE,TRUE,FALSE,8,1
"23","The Brie Carre Pizza",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1158.85,6,1,1,0,4,FALSE,TRUE,FALSE,9,1
"24","The Brie Carre Pizza",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,804.1,6,1,1,0,4,FALSE,TRUE,FALSE,10,1
"25","The Brie Carre Pizza",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,993.299999999999,6,1,1,0,4,FALSE,TRUE,FALSE,11,1
"26","The Brie Carre Pizza",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,827.75,6,1,1,0,4,FALSE,TRUE,FALSE,12,1
"27","The Calabrese Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,1156.75,6,2,0,0,4,FALSE,FALSE,FALSE,1,4
"28","The Calabrese Pizza",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,1461.5,6,2,0,0,4,FALSE,FALSE,FALSE,2,4
"29","The Calabrese Pizza",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,1108.25,6,2,0,0,4,FALSE,FALSE,FALSE,3,4
"30","The Calabrese Pizza",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,0,1380.75,6,2,0,0,4,FALSE,FALSE,FALSE,4,4
"31","The Calabrese Pizza",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,0,0,0,0,0,1526.5,6,2,0,0,4,FALSE,FALSE,FALSE,6,4
"32","The Calabrese Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,0,0,1428.75,6,2,0,0,4,FALSE,FALSE,FALSE,7,4
"33","The Calabrese Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,1262.25,6,2,0,0,4,FALSE,FALSE,FALSE,8,4
"34","The Calabrese Pizza",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,1104.5,6,2,0,0,4,FALSE,FALSE,FALSE,9,4
"35","The Calabrese Pizza",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,0,1595.5,6,2,0,0,4,FALSE,FALSE,FALSE,11,4
"36","The Calabrese Pizza",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,64,0,0,0,0,0,0,0,0,1144.25,6,2,0,0,4,FALSE,FALSE,FALSE,12,4
"37","The California Chicken Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,3471.5,7,1,2,0,4,FALSE,TRUE,FALSE,1,1
"38","The California Chicken Pizza",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,3457.5,7,1,2,0,4,FALSE,TRUE,FALSE,3,1
"39","The California Chicken Pizza",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,3092,7,1,2,0,4,FALSE,TRUE,FALSE,4,1
"40","The California Chicken Pizza",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,3561.25,7,1,2,0,4,FALSE,TRUE,FALSE,5,1
"41","The California Chicken Pizza",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,3870.5,7,1,2,0,4,FALSE,TRUE,FALSE,6,1
"42","The California Chicken Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,3252.25,7,1,2,0,4,FALSE,TRUE,FALSE,7,1
"43","The California Chicken Pizza",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,3088.75,7,1,2,0,4,FALSE,TRUE,FALSE,9,1
"44","The California Chicken Pizza",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,3692.75,7,1,2,0,4,FALSE,TRUE,FALSE,11,1
"45","The Chicken Alfredo Pizza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,1456.5,6,1,1,1,3,FALSE,TRUE,TRUE,1,1
"46","The Chicken Alfredo Pizza",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1267.5,6,1,1,1,3,FALSE,TRUE,TRUE,2,1
"47","The Chicken Alfredo Pizza",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1779,6,1,1,1,3,FALSE,TRUE,TRUE,3,1
"48","The Chicken Alfredo Pizza",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1259.5,6,1,1,1,3,FALSE,TRUE,TRUE,4,1
"49","The Chicken Alfredo Pizza",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,1439.75,6,1,1,1,3,FALSE,TRUE,TRUE,5,1
"50","The Chicken Alfredo Pizza",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,1410.25,6,1,1,1,3,FALSE,TRUE,TRUE,6,1
"51","The Chicken Alfredo Pizza",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,1222.75,6,1,1,1,3,FALSE,TRUE,TRUE,7,1
"52","The Chicken Alfredo Pizza",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,1400.75,6,1,1,1,3,FALSE,TRUE,TRUE,9,1
"53","The Chicken Alfredo Pizza",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,1364,6,1,1,1,3,FALSE,TRUE,TRUE,10,1
